root,node,count
Full Stack,Front-end,7
Full Stack,Back-end,6
Front-end,Implementación de tecnologías web,3
Front-end,Desarrollo con frameworks de Front-end,4
Back-end,Administración de servidores,3
Back-end,Desarrollo con frameworks de Back-end,3
Implementación de tecnologías web,Implementación de lenguajes de marcado para la estructuración de contenido,1
Implementación de tecnologías web,Lenguajes de estilo para la descripción de documentos,1
Implementación de tecnologías web,Implementacion de frameworks de estilo ,1
Desarrollo con frameworks de Front-end,Uso de lenguajes de enmarcado en frameworks de front-end,1
Desarrollo con frameworks de Front-end,Enrutamiento de sitios,1
Desarrollo con frameworks de Front-end,Gestión e integración de paquetes y librerías,1
Desarrollo con frameworks de Front-end,Presentaciones visuales con librerías en JavaScript,1
Administración de servidores,Servidores Linux (base),1
Administración de servidores,Análisis comparativo de Distribuciones de Linux,1
Administración de servidores,Servidores Windows,1
Desarrollo con frameworks de Back-end,Construcción de servidores REST,1
Desarrollo con frameworks de Back-end,Programación Orientada a Objetos,1
Desarrollo con frameworks de Back-end,Administración de bases de datos,1
